nb_im,sp,pc,eig,var,first,second,third,last
500,8,2,8.320279826346441,19.349487968247534,skew.dist,kurt.dist,circ,c.perim
500,8,3,5.05818607693431,11.76322343473095,perim.maj,s.c.perim.perim,solid,mode.dist
500,8,4,1.5052045515957786,3.500475701385531,med.dist,nb.blobs,mean.dist,s.c.area
500,8,5,1.2609296738443003,2.9323945903355817,tx.gray,tx.3rd.mom,hflip,mode.dist
500,8,6,1.1105626882014228,2.58270392604982,nb.blobs,tx.contrast,tx.smooth,min.ax
500,9,1,21.05607638991958,48.96761951144101,c.perim,s.c.perim,maj.ax,extent
500,9,2,8.433225883957673,19.612153218506272,skew.dist,kurt.dist,maj.min,c.perim
500,9,3,4.9452292317286055,11.500533097043299,perim.maj,s.c.perim.perim,solid,r.bbox.x
500,9,4,1.4147463788541113,3.290107857800267,med.dist,nb.blobs,mean.dist,circ
500,9,5,1.273268824916696,2.9610902905039516,tx.3rd.mom,tx.gray,h180,s.maj.ax
500,9,6,1.0808705609248381,2.513652467267072,nb.blobs,h180,h90.h180,area
